st	year	percentsmokers	tobaccolobby	healthorgslobby	production	govideolbrfh	yadatecensus	restcensus	wp_publiccensus	govbuildings	restaurants	outofpackage	neigovbuildings	neirestaurant	neioutofpackage	dvgovbuild	dvrest	dvoutpack	toblobbyratio	healthlobbyratio	ugovdem	ugovrep	psphealth	proddum	synar1	yacens_healthorgslobby	gbcens_healthorgslobby	restcens_healthorgslobby	rslsal	rslsalgbl	rslsalrestl	rslsalyal	profess	professgbl	professrl	professyal	policynum	pooleddv	poolednei	pooledcensus	pooledlocalrslsal	pooledlocalhealth	styr	pooledlocalprof	synar1ya	state
50	1975	21.3	0	0	0	47.97	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.010542168	0.013554217	0.0	0.0	0.015739858	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.075	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	501975.0	0.0	0.0	"WY"
1	1976	25.4	0	0	0.001152	31.5	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.018691588	0.07788162	1.0	0.0	0.0221121	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.085	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	11976.0	0.0	0.0	"AL"
2	1976	26.9	0	0	0	43.25	0.0	0.0	0.0	0	0	0				0.0	0.0	0.0	0.011764706	0.043137256	0.0	0.0	0.020178882	0.0	0.0	0.0	0.0	0.0	44.4822	0.0	0.0	0.0	0.32	0.0	0.0	0.0	1	0.0		0.0	0.0	0.0	21976.0	0.0	0.0	"AK"
3	1976	27.8	0	1	0	54.04	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0076923077	0.066923074	0.0	0.0	0.009030159	0.0	0.0	0.0	0.0	0.0	18.156	0.0	0.0	0.0	0.269	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	31976.0	0.0	0.0	"AZ"
4	1976	26.8	0	0	0	41.1	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0073260074	0.04761905	1.0	0.0	0.017710393	0.0	0.0	0.0	0.0	0.0	3.6312	0.0	0.0	0.0	0.115	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	41976.0	0.0	0.0	"AR"
5	1976	26.3	1	1	0	80.98	0.0	0.17297909	0.17297909	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.01635514	0.069314644	1.0	0.0	0.022971783	0.0	0.0	0.0	0.17297909	0.17297909	63.848602	11.044473	11.044473	0.0	0.526	0.090987004	0.090987004	0.0	1	0.0	0.0	0.17297909	11.044473	0.17297909	51976.0	0.090987004	0.0	"CA"
6	1976	21.9	0	1	0	63.52	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.035230353	0.11111111	0.0	0.0	0.01365602	0.0	0.0	0.0	0.0	0.0	22.9976	0.0	0.0	0.0	0.284	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	61976.0	0.0	0.0	"CO"
7	1976	26.7	0	2	0.007189	76.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.017405063	0.16772152	1.0	0.0	0.015000038	1.0	0.0	0.0	0.0	0.0	16.643	0.0	0.0	0.0	0.2	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	71976.0	0.0	0.0	"CT"
8	1976	23.6	0	0	0	78.5	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.076	1.0	0.0	0.025134454	0.0	0.0	0.0	0.0	0.0	27.234001	0.0	0.0	0.0	0.179	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	81976.0	0.0	0.0	"DE"
9	1976	27.7	0	1	0.030828	47.67	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.007417103	0.07984293	1.0	0.0	0.037604697	1.0	0.0	0.0	0.0	0.0	36.312	0.0	0.0	0.0	0.224	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	91976.0	0.0	0.0	"FL"
